,index,metric,country,value
0,0,gdp,Afghanistan,17930239400
1,1,gdp,Albania,12890867539
2,2,gdp,Algeria,2.00E+11
3,3,gdp,American Samoa,
4,4,gdp,Andorra,3427235709
5,5,gdp,Angola,1.04E+11
6,6,gdp,Antigua and Barbuda,1129918370
7,7,gdp,Argentina,5.58E+11
8,8,gdp,Armenia,10142111334
9,9,gdp,Aruba,2584463687
10,10,gdp,Australia,1.39E+12
11,11,gdp,Austria,4.29E+11
12,12,gdp,Azerbaijan,65951627200
13,13,gdp,Bahamas,7889750000
14,14,gdp,Bahrain,29044069149
15,15,gdp,Bangladesh,1.29E+11
16,16,gdp,Barbados,4358000000
17,17,gdp,Belarus,59734593905
18,18,gdp,Belgium,5.27E+11
19,19,gdp,Belize,1486712300
20,20,gdp,Benin,7814081156
21,21,gdp,Bermuda,5550771000
22,22,gdp,Bhutan,1820207626
23,23,gdp,Bolivia,23963033444
24,24,gdp,Bosnia and Herzegovina,18628022743
25,25,gdp,Botswana,15682931970
26,26,gdp,Brazil,2.61E+12
27,27,gdp,Brunei,16691533190
28,28,gdp,Bulgaria,56949835052
29,29,gdp,Burkina Faso,10724061339
30,30,gdp,Burundi,2355652126
31,31,gdp,Cambodia,12829541141
32,32,gdp,Cameroon,26587311528
33,33,gdp,Canada,1.79E+12
34,34,gdp,Cape Verde,1864824081
35,35,gdp,Cayman Islands,
36,36,gdp,Central African Republic,2212699747
37,37,gdp,Chad,12156380062
38,39,gdp,Chile,2.51E+11
39,40,gdp,China,7.49E+12
40,41,gdp,Colombia,3.35E+11
41,42,gdp,Comoros,566024620.5
42,43,gdp,Dem. Rep. Congo,23849009738
43,44,gdp,"Congo, Rep.",14425607224
44,45,gdp,Costa Rica,41237293551
45,46,gdp,Cote d'Ivoire,25381616734
46,47,gdp,Croatia,62249565359
47,48,gdp,Cuba,68990140000
48,50,gdp,Cyprus,27089174646
49,51,gdp,Czech Republic,2.27E+11
50,52,gdp,Denmark,3.41E+11
51,53,gdp,Djibouti,1239144502
52,54,gdp,Dominica,501481481.5
53,55,gdp,Dominican Republic,58361928552
54,56,gdp,Ecuador,79276664000
55,57,gdp,Egypt,2.36E+11
56,58,gdp,El Salvador,23139000000
57,59,gdp,Equatorial Guinea,17229758160
58,60,gdp,Eritrea,2607739837
59,61,gdp,Estonia,23168793439
60,62,gdp,Ethiopia,31952763089
61,63,gdp,Faroe Islands,2468748768
62,64,gdp,Fiji,3774537140
63,65,gdp,Finland,2.74E+11
64,66,gdp,France,2.86E+12
65,67,gdp,French Polynesia,
66,68,gdp,Gabon,18186478120
67,69,gdp,Gambia,904256643.4
68,70,gdp,Georgia,14434619982
69,71,gdp,Germany,3.76E+12
70,72,gdp,Ghana,39566292433
71,73,gdp,Greece,2.88E+11
72,74,gdp,Greenland,2503747857
73,75,gdp,Grenada,778648666.7
74,76,gdp,Guam,
75,77,gdp,Guatemala,47654783851
76,78,gdp,Guinea,5067360009
77,79,gdp,Guinea-Bissau,1105497904
78,80,gdp,Guyana,2576602497
79,81,gdp,Haiti,7516834160
80,82,gdp,Honduras,17710315006
81,83,gdp,Hong Kong,2.49E+11
82,84,gdp,Hungary,1.40E+11
83,85,gdp,Iceland,14665358677
84,86,gdp,India,1.82E+12
85,87,gdp,Indonesia,8.93E+11
86,88,gdp,Iran,5.92E+11
87,89,gdp,Iraq,1.86E+11
88,90,gdp,Ireland,2.42E+11
89,91,gdp,Isle of Man,6066057183
90,92,gdp,Israel,2.62E+11
91,93,gdp,Italy,2.28E+12
92,94,gdp,Jamaica,14396816914
93,95,gdp,Japan,5.91E+12
94,96,gdp,Jordan,28840263380
95,97,gdp,Kazakhstan,2.00E+11
96,98,gdp,Kenya,41953433591
97,99,gdp,Kiribati,172253739
98,100,gdp,Dem. Rep. Korea,
99,101,gdp,Korea,1.20E+12
100,102,gdp,Kosovo,6692521546
101,103,gdp,Kuwait,1.54E+11
102,104,gdp,Kyrgyzstan,6197766119
103,105,gdp,Lao PDR,8283218734
104,106,gdp,Latvia,28385281828
105,107,gdp,Lebanon,40078938640
106,108,gdp,Lesotho,2523309140
107,109,gdp,Liberia,1545400000
108,110,gdp,Libya,34699395524
109,111,gdp,Liechtenstein,5739705822
110,112,gdp,Lithuania,43505562065
111,113,gdp,Luxembourg,58697386711
112,114,gdp,Macao,36709847597
113,115,gdp,Macedonia,10494632699
114,116,gdp,Madagascar,9892702358
115,117,gdp,Malawi,8004000737
116,118,gdp,Malaysia,2.98E+11
117,119,gdp,Maldives,2449576517
118,120,gdp,Mali,12978107561
119,121,gdp,Malta,9302635890
120,122,gdp,Marshall Islands,172861423.4
121,123,gdp,Mauritania,5166340391
122,124,gdp,Mauritius,11252386261
123,125,gdp,Mexico,1.17E+12
124,126,gdp,Micronesia,310287500
125,127,gdp,Moldova,7015206498
126,128,gdp,Monaco,6074884389
127,129,gdp,Mongolia,10409797336
128,130,gdp,Montenegro,4538199889
129,131,gdp,Morocco,1.01E+11
130,132,gdp,Mozambique,13131168012
131,133,gdp,Myanmar,
132,134,gdp,Namibia,12409629836
133,135,gdp,Nepal,18913574371
134,136,gdp,Netherlands,8.94E+11
135,137,gdp,New Caledonia,
136,138,gdp,New Zealand,1.68E+11
137,139,gdp,Nicaragua,9755619760
138,140,gdp,Niger,6409169890
139,141,gdp,Nigeria,4.12E+11
140,142,gdp,Northern Mariana Islands,
141,143,gdp,Norway,4.98E+11
142,144,gdp,Oman,67937581274
143,145,gdp,Pakistan,2.14E+11
144,146,gdp,Palau,199900000
145,147,gdp,Panama,34373820500
146,148,gdp,Papua New Guinea,12873049346
147,149,gdp,Paraguay,25071195492
148,150,gdp,Peru,1.71E+11
149,151,gdp,Philippines,2.24E+11
150,152,gdp,Poland,5.29E+11
151,153,gdp,Portugal,2.45E+11
152,154,gdp,Puerto Rico,1.00E+11
153,155,gdp,Qatar,1.70E+11
154,156,gdp,Romania,1.85E+11
155,157,gdp,Russia,2.03E+12
156,158,gdp,Rwanda,6406727230
157,159,gdp,Samoa,762098381.9
158,160,gdp,San Marino,
159,161,gdp,Sao Tome and Principe,239986643.5
160,162,gdp,Saudi Arabia,6.70E+11
161,163,gdp,Senegal,14440676929
162,164,gdp,Serbia,46466728667
163,165,gdp,Seychelles,1065826670
164,166,gdp,Sierra Leone,2985556819
165,167,gdp,Singapore,2.75E+11
166,169,gdp,Slovakia,97919794273
167,170,gdp,Slovenia,51287600778
168,171,gdp,Solomon Islands,886503123.8
169,172,gdp,Somalia,
170,173,gdp,South Africa,4.17E+11
171,174,gdp,South Sudan,17826697892
172,175,gdp,Spain,1.49E+12
173,176,gdp,Sri Lanka,65292741297
174,177,gdp,St. Kitts and Nevis,728050629.6
175,178,gdp,Saint Lucia,1290025296
176,181,gdp,Sudan,67327289320
177,182,gdp,Suriname,4422276622
178,183,gdp,Swaziland,4963056465
179,184,gdp,Sweden,5.63E+11
180,185,gdp,Switzerland,6.96E+11
181,186,gdp,Syria,
182,187,gdp,Tajikistan,6522755783
183,188,gdp,Tanzania,33878631649
184,189,gdp,Thailand,3.71E+11
185,190,gdp,Timor-Leste,1138000000
186,191,gdp,Togo,3756023160
187,192,gdp,Tonga,441232909.2
188,193,gdp,Trinidad and Tobago,24409826346
189,194,gdp,Tunisia,45810626509
190,195,gdp,Turkey,7.75E+11
191,196,gdp,Turkmenistan,29233333333
192,197,gdp,Turks and Caicos Islands,
193,199,gdp,Uganda,20262889524
194,200,gdp,Ukraine,1.63E+11
195,201,gdp,United Arab Emirates,3.49E+11
196,202,gdp,United Kingdom,2.59E+12
197,203,gdp,United States,1.55E+13
198,204,gdp,Uruguay,47962439303
199,205,gdp,Uzbekistan,45324319955
200,206,gdp,Vanuatu,792149700.7
201,207,gdp,Venezuela,3.16E+11
202,208,gdp,Vietnam,1.36E+11
203,210,gdp,Palestine,10459845737
204,211,gdp,Yemen,31078858746
205,212,gdp,Zambia,23459515284
206,213,gdp,Zimbabwe,10956226600
207,214,gdp,World,7.28E+13
208,215,gdp,Low income,3.26E+11
209,216,gdp,Lower middle income,5.12E+12
210,217,gdp,Middle income,2.34E+13
211,219,gdp,High income,4.86E+13
212,220,gdp_per_capita,Afghanistan,622.3796544
213,221,gdp_per_capita,Albania,4437.811999
214,222,gdp_per_capita,Algeria,5447.403976
215,223,gdp_per_capita,American Samoa,
216,224,gdp_per_capita,Andorra,41630.05258
217,225,gdp_per_capita,Angola,4744.987629
218,226,gdp_per_capita,Antigua and Barbuda,12817.84157
219,227,gdp_per_capita,Argentina,13392.9169
220,228,gdp_per_capita,Armenia,3417.171836
221,229,gdp_per_capita,Aruba,25353.78754
222,230,gdp_per_capita,Australia,62216.54713
223,231,gdp_per_capita,Austria,51123.56133
224,232,gdp_per_capita,Azerbaijan,7189.691229
225,233,gdp_per_capita,Bahamas,21514.89865
226,234,gdp_per_capita,Bahrain,22238.71195
227,235,gdp_per_capita,Bangladesh,838.5478017
228,236,gdp_per_capita,Barbados,15530.89429
229,237,gdp_per_capita,Belarus,6305.773662
230,238,gdp_per_capita,Belgium,47699.80705
231,239,gdp_per_capita,Belize,4516.23303
232,240,gdp_per_capita,Benin,799.0355591
233,241,gdp_per_capita,Bermuda,85973.15842
234,242,gdp_per_capita,Bhutan,2485.787052
235,243,gdp_per_capita,Bolivia,2377.70069
236,244,gdp_per_capita,Bosnia and Herzegovina,4860.781811
237,245,gdp_per_capita,Botswana,7504.850907
238,246,gdp_per_capita,Brazil,13039.12165
239,247,gdp_per_capita,Brunei,41787.0214
240,248,gdp_per_capita,Bulgaria,7750.03988
241,249,gdp_per_capita,Burkina Faso,665.8074467
242,250,gdp_per_capita,Burundi,240.6144835
243,251,gdp_per_capita,Cambodia,879.1512441
244,252,gdp_per_capita,Cameroon,1258.924651
245,253,gdp_per_capita,Canada,52083.82622
246,254,gdp_per_capita,Cape Verde,3766.111654
247,255,gdp_per_capita,Cayman Islands,
248,256,gdp_per_capita,Central African Republic,488.3573422
249,257,gdp_per_capita,Chad,988.4431598
250,259,gdp_per_capita,Chile,14582.17052
251,260,gdp_per_capita,China,5574.187093
252,261,gdp_per_capita,Colombia,7227.77083
253,262,gdp_per_capita,Comoros,790.5680956
254,263,gdp_per_capita,Dem. Rep. Congo,350.2706542
255,264,gdp_per_capita,"Congo, Rep.",3453.221229
256,265,gdp_per_capita,Costa Rica,8963.680052
257,266,gdp_per_capita,Cote d'Ivoire,1231.867834
258,267,gdp_per_capita,Croatia,14542.1776
259,268,gdp_per_capita,Cuba,6092.613902
260,270,gdp_per_capita,Cyprus,31836.61951
261,271,gdp_per_capita,Czech Republic,21656.94142
262,272,gdp_per_capita,Denmark,61304.0612
263,273,gdp_per_capita,Djibouti,1472.014205
264,274,gdp_per_capita,Dominica,7023.353428
265,275,gdp_per_capita,Dominican Republic,5820.3963
266,276,gdp_per_capita,Ecuador,5223.377575
267,277,gdp_per_capita,Egypt,2816.666943
268,278,gdp_per_capita,El Salvador,3821.33859
269,279,gdp_per_capita,Equatorial Guinea,22944.92629
270,280,gdp_per_capita,Eritrea,544.4624311
271,281,gdp_per_capita,Estonia,17453.75376
272,282,gdp_per_capita,Ethiopia,355.5889915
273,283,gdp_per_capita,Faroe Islands,50910.43405
274,284,gdp_per_capita,Fiji,4351.919334
275,285,gdp_per_capita,Finland,50787.56498
276,286,gdp_per_capita,France,43807.4759
277,287,gdp_per_capita,French Polynesia,
278,288,gdp_per_capita,Gabon,11530.1472
279,289,gdp_per_capita,Gambia,516.984255
280,290,gdp_per_capita,Georgia,3725.063221
281,291,gdp_per_capita,Germany,45936.08126
282,292,gdp_per_capita,Ghana,1587.190873
283,293,gdp_per_capita,Greece,25914.68155
284,294,gdp_per_capita,Greenland,44010.33322
285,295,gdp_per_capita,Grenada,7410.76108
286,296,gdp_per_capita,Guam,
287,297,gdp_per_capita,Guatemala,3166.582312
288,298,gdp_per_capita,Guinea,447.7909893
289,299,gdp_per_capita,Guinea-Bissau,660.5867694
290,300,gdp_per_capita,Guyana,3408.731903
291,301,gdp_per_capita,Haiti,740.947823
292,302,gdp_per_capita,Honduras,2323.757115
293,303,gdp_per_capita,Hong Kong,35142.48793
294,304,gdp_per_capita,Hungary,14032.77426
295,305,gdp_per_capita,Iceland,45970.89368
296,306,gdp_per_capita,India,1455.666779
297,307,gdp_per_capita,Indonesia,3647.626622
298,308,gdp_per_capita,Iran,7874.484792
299,309,gdp_per_capita,Iraq,5828.764749
300,310,gdp_per_capita,Ireland,52828.42003
301,311,gdp_per_capita,Isle of Man,71307.49372
302,312,gdp_per_capita,Israel,33707.32496
303,313,gdp_per_capita,Italy,38332.30037
304,314,gdp_per_capita,Jamaica,5332.474361
305,315,gdp_per_capita,Japan,46229.97239
306,316,gdp_per_capita,Jordan,4266.077022
307,317,gdp_per_capita,Kazakhstan,12102.68686
308,318,gdp_per_capita,Kenya,1012.879773
309,319,gdp_per_capita,Kiribati,1645.80974
310,320,gdp_per_capita,Dem. Rep. Korea,
311,321,gdp_per_capita,Korea,24155.82985
312,322,gdp_per_capita,Kosovo,3736.840999
313,323,gdp_per_capita,Kuwait,47551.38297
314,324,gdp_per_capita,Kyrgyzstan,1123.883168
315,325,gdp_per_capita,Lao PDR,1300.979602
316,326,gdp_per_capita,Latvia,13781.20979
317,327,gdp_per_capita,Lebanon,8728.565912
318,328,gdp_per_capita,Lesotho,1241.205706
319,329,gdp_per_capita,Liberia,378.8140624
320,330,gdp_per_capita,Libya,5517.779569
321,331,gdp_per_capita,Liechtenstein,157092.9694
322,332,gdp_per_capita,Lithuania,14367.20932
323,333,gdp_per_capita,Luxembourg,113239.561
324,334,gdp_per_capita,Macao,67150.27675
325,335,gdp_per_capita,Macedonia,5079.962079
326,336,gdp_per_capita,Madagascar,456.3293071
327,337,gdp_per_capita,Malawi,525.6517393
328,338,gdp_per_capita,Malaysia,10427.75605
329,339,gdp_per_capita,Maldives,6497.550443
330,340,gdp_per_capita,Mali,829.8492313
331,341,gdp_per_capita,Malta,22347.70842
332,342,gdp_per_capita,Marshall Islands,3290.029185
333,343,gdp_per_capita,Mauritania,1402.669129
334,344,gdp_per_capita,Mauritius,8984.629769
335,345,gdp_per_capita,Mexico,9730.277761
336,346,gdp_per_capita,Micronesia,2998.642197
337,347,gdp_per_capita,Moldova,1970.571373
338,348,gdp_per_capita,Monaco,163351.6467
339,349,gdp_per_capita,Mongolia,3772.931547
340,350,gdp_per_capita,Montenegro,7318.74469
341,351,gdp_per_capita,Morocco,3066.503158
342,352,gdp_per_capita,Mozambique,524.8914529
343,353,gdp_per_capita,Myanmar,
344,354,gdp_per_capita,Namibia,5539.61516
345,355,gdp_per_capita,Nepal,695.8831983
346,356,gdp_per_capita,Netherlands,53537.27515
347,357,gdp_per_capita,New Caledonia,
348,358,gdp_per_capita,New Zealand,38426.69533
349,359,gdp_per_capita,Nicaragua,1679.7482
350,360,gdp_per_capita,Niger,378.2005466
351,361,gdp_per_capita,Nigeria,2514.148622
352,362,gdp_per_capita,Northern Mariana Islands,
353,363,gdp_per_capita,Norway,100575.1173
354,364,gdp_per_capita,Oman,21164.33576
355,365,gdp_per_capita,Pakistan,1230.815428
356,366,gdp_per_capita,Palau,9701.057944
357,367,gdp_per_capita,Panama,9335.691621
358,368,gdp_per_capita,Papua New Guinea,1838.699199
359,369,gdp_per_capita,Paraguay,3983.498504
360,370,gdp_per_capita,Peru,5731.698868
361,371,gdp_per_capita,Philippines,2371.853537
362,372,gdp_per_capita,Poland,13891.14169
363,373,gdp_per_capita,Portugal,23194.74096
364,374,gdp_per_capita,Puerto Rico,27278.84523
365,375,gdp_per_capita,Qatar,89115.90149
366,376,gdp_per_capita,Romania,9200.277825
367,377,gdp_per_capita,Russia,14212.08089
368,378,gdp_per_capita,Rwanda,606.9028864
369,379,gdp_per_capita,Samoa,4065.95592
370,380,gdp_per_capita,San Marino,
371,381,gdp_per_capita,Sao Tome and Principe,1374.131921
372,382,gdp_per_capita,Saudi Arabia,23256.09561
373,383,gdp_per_capita,Senegal,1081.131518
374,384,gdp_per_capita,Serbia,6423.291783
375,385,gdp_per_capita,Seychelles,12189.09516
376,386,gdp_per_capita,Sierra Leone,505.263717
377,387,gdp_per_capita,Singapore,53093.67015
378,389,gdp_per_capita,Slovakia,18138.72342
379,390,gdp_per_capita,Slovenia,24983.69373
380,391,gdp_per_capita,Solomon Islands,1648.854127
381,392,gdp_per_capita,Somalia,
382,393,gdp_per_capita,South Africa,8081.417175
383,394,gdp_per_capita,South Sudan,1696.145667
384,395,gdp_per_capita,Spain,31832.23808
385,396,gdp_per_capita,Sri Lanka,3221.151519
386,397,gdp_per_capita,St. Kitts and Nevis,13737.32272
387,398,gdp_per_capita,Saint Lucia,7195.669833
388,401,gdp_per_capita,Sudan,1596.44521
389,402,gdp_per_capita,Suriname,8448.504261
390,403,gdp_per_capita,Swaziland,4093.384237
391,404,gdp_per_capita,Sweden,59593.6848
392,405,gdp_per_capita,Switzerland,88002.60957
393,406,gdp_per_capita,Syria,
394,407,gdp_per_capita,Tajikistan,841.2198704
395,408,gdp_per_capita,Tanzania,740.3839008
396,409,gdp_per_capita,Thailand,5539.494368
397,410,gdp_per_capita,Timor-Leste,1015.715928
398,411,gdp_per_capita,Togo,572.0257032
399,412,gdp_per_capita,Tonga,4226.692747
400,413,gdp_per_capita,Trinidad and Tobago,18287.39079
401,414,gdp_per_capita,Tunisia,4291.876043
402,415,gdp_per_capita,Turkey,10538.43512
403,416,gdp_per_capita,Turkmenistan,5724.537102
404,417,gdp_per_capita,Turks and Caicos Islands,
405,419,gdp_per_capita,Uganda,591.4386238
406,420,gdp_per_capita,Ukraine,3569.757027
407,421,gdp_per_capita,United Arab Emirates,39901.22092
408,422,gdp_per_capita,United Kingdom,41020.37696
409,423,gdp_per_capita,United States,49781.80066
410,424,gdp_per_capita,Uruguay,14166.55767
411,425,gdp_per_capita,Uzbekistan,1544.827773
412,426,gdp_per_capita,Vanuatu,3275.023982
413,427,gdp_per_capita,Venezuela,10754.59288
414,428,gdp_per_capita,Vietnam,1542.670436
415,430,gdp_per_capita,Palestine,2663.537025
416,431,gdp_per_capita,Yemen,1282.398832
417,432,gdp_per_capita,Zambia,1635.547304
418,433,gdp_per_capita,Zimbabwe,768.5564093
419,434,gdp_per_capita,World,10395.90344
420,435,gdp_per_capita,Low income,569.2740502
421,436,gdp_per_capita,Lower middle income,1855.049063
422,437,gdp_per_capita,Middle income,4477.332797
423,439,gdp_per_capita,High income,41805.78704
424,440,co2_per_capita,Afghanistan,0.425262105
425,441,co2_per_capita,Albania,1.60703771
426,442,co2_per_capita,Algeria,3.316037892
427,443,co2_per_capita,American Samoa,
428,444,co2_per_capita,Andorra,5.96868547
429,445,co2_per_capita,Angola,1.35400753
430,446,co2_per_capita,Antigua and Barbuda,5.823804338
431,447,co2_per_capita,Argentina,4.562048512
432,448,co2_per_capita,Armenia,1.671656923
433,449,co2_per_capita,Aruba,23.9224121
434,450,co2_per_capita,Australia,16.51920992
435,451,co2_per_capita,Austria,7.769983423
436,452,co2_per_capita,Azerbaijan,3.647379147
437,453,co2_per_capita,Bahamas,5.199844019
438,454,co2_per_capita,Bahrain,17.94732981
439,455,co2_per_capita,Bangladesh,0.372017166
440,456,co2_per_capita,Barbados,5.580177618
441,457,co2_per_capita,Belarus,6.682510398
442,458,co2_per_capita,Belgium,8.849398302
443,459,co2_per_capita,Belize,1.670904302
444,460,co2_per_capita,Benin,0.509962226
445,461,co2_per_capita,Bermuda,6.07721021
446,462,co2_per_capita,Bhutan,0.766205619
447,463,co2_per_capita,Bolivia,1.599499039
448,464,co2_per_capita,Bosnia and Herzegovina,6.19665215
449,465,co2_per_capita,Botswana,2.323345006
450,466,co2_per_capita,Brazil,2.191393564
451,467,co2_per_capita,Brunei,24.39201338
452,468,co2_per_capita,Bulgaria,6.71438251
453,469,co2_per_capita,Burkina Faso,0.11998056
